	Sample Name	MBSWPE1015-A (MCB A)	MBIAPE1015-B 10/06/2015	MBSWPE1015-B 10/06/2015	MBIAPE1015-C 10/06/2015	MBIAPE1015-C-Dup 10/06/2015	MBSWPE1015-C 10/06/2015	MBIAPE1015-D 10/06/2015	MBSWPE1015-D 10/06/2015	MBIAPE1015-E 10/06/2015	MBSWPE1015-E 10/06/2015	MBSWPE1015-E-Dup 10/06/2015	MBIAPE1015-G 10/06/2015	MBSWPE1015-G 10/06/2015	MBIAPE1015-H 10/06/2015	MBSWPE1015-H 10/06/2015	MBIAPE1015-I 10/06/2015	MBSWPE1015-I 10/06/2015	MBIAPE1015-J 10/06/2015	MBSWPE1015-J 10/06/2015	MBIAPE1015-K 10/06/2015	MBSWPE1015-K 10/06/2015	MBIAPE1015-L 10/06/2015	MBSWPE1015-L 10/06/2015	MBSAPE1015-5 10/06/2015	MBIAPE1015-5 10/06/2015	MBSWPE1015-5 10/06/2015	MBSAPE1015-12 10/06/2015	MBIAPE1015-12 10/06/2015	MBSWPE1015-12 10/06/2015	MBSAPE1015-13 10/06/2015	MBIAPE1015-13 10/06/2015	MBSWPE1015-F 10/06/2015	MBSAPE1015-16 10/06/2015	MBIAPE1015-16 10/06/2015	MBSWPE1015-16 10/06/2015	MBSWPE1015-1 (MCB 1)	MBSWPE1015-27 (MCB 27)
	Sample #	A150525	A150529	A150527	A150533	A150534	A150531	A150539	A150537	A150545	A150541	A150542	A150551	A150549	A150555	A150553	A150559	A150557	A150563	A150561	A150567	A150565	A150571	A150569	A150575	A150574	A150573	A150578	A150577	A150576	A150580	A150579	A150547	A150583	A150582	A150581	A150584	A150586
	Location	MCB A	MCB B	MCB B	MCB C	MCB C	MCB C	MCB D	MCB D	MCB E	MCB E	MCB E	MCB G	MCB G	MCB H	MCB H	MCB I	MCB I	MCB J	MCB J	MCB K	MCB K	MCB L	MCB L	MCB 5	MCB 5	MCB 5	MCB 12	MCB 12	MCB 12-SW	MCB 13	MCB 13	MCB 13-SW	MCB 16	MCB 16	MCB 16	MCB 1	MCB 27
Naphthalene	ng/L	#VALUE!	3.84	0.64	10.28	9.52	90.62	#VALUE!	0.23	#VALUE!	#VALUE!	0.50	#VALUE!	0.62	#VALUE!	0.75	#VALUE!	#VALUE!	#VALUE!	0.16	#VALUE!	#VALUE!	#VALUE!	5.31	5.24	2.91	32.96	58.29	29.95	0.70	#VALUE!	#VALUE!	1.08	0.00	#VALUE!	#VALUE!	#VALUE!	#VALUE!
2-Methylnaphthalene	ng/L	0.10493	3.31	0.72	1.56	1.64	15.81	#VALUE!	0.36	0.04	0.19	0.16	#VALUE!	0.28	#VALUE!	0.21	0.44	#VALUE!	#VALUE!	0.01	#VALUE!	#VALUE!	#VALUE!	1.95	4.41	2.06	14.37	6.58	5.49	#VALUE!	#VALUE!	0.02	0.07	0.56	#VALUE!	0.009924	#VALUE!	#VALUE!
1-Methylnaphthalene	ng/L	0.33665	17.67	2.23	1.54	1.62	14.23	0.07	0.33	0.59	0.22	0.19	#VALUE!	0.20	#VALUE!	0.19	0.39	#VALUE!	#VALUE!	0.12	#VALUE!	0.11	#VALUE!	1.87	18.96	3.95	14.39	863.16	627.48	1.27	0.60	0.46	0.38	3.87	0.13	0.15167	0.064770266	0.022609841
2-Ethylnaphthalene	ng/L	0.02556	1.05	0.11	0.11	0.13	0.73	0.10	0.03	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	0.04	0.12	0.02	#VALUE!	0.09	1.94	0.42	0.77	50.97	39.48	0.47	0.10	0.17	0.06	0.22	0.01	0.02220	#VALUE!	#VALUE!
"2,6-Dimethylnaphthalene"	ng/L	0.58948	411.20	3.69	0.58	0.53	3.74	0.44	0.34	7.76	0.23	0.24	0.19	0.17	0.14	0.19	0.64	0.12	0.04	0.25	0.73	0.22	0.24	0.59	70.50	1.97	4.20	146.55	216.14	4.38	0.79	0.92	0.38	20.62	0.25	0.19690	0.143589363	0.1282729
"1,6-dimethylNaphthalene"	ng/L	1.58502	469.67	5.10	0.59	0.55	3.63	0.37	0.37	13.45	0.27	0.25	0.12	0.16	0.08	0.19	0.61	0.11	0.02	0.25	0.44	0.21	0.26	0.62	88.75	1.84	4.42	371.06	379.57	6.28	0.88	1.09	0.62	11.70	0.18	0.21511	0.159775039	0.140055679
"1,4-dimethylnaphthalene"	ng/L	0.72935	118.13	2.05	0.16	0.15	0.93	#VALUE!	0.11	4.60	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	0.19	52.09	#VALUE!	1.27	91.89	138.68	3.48	#VALUE!	0.28	0.24	25.83	0.27	#VALUE!	#VALUE!	#VALUE!
"1,5-dimethylnaphthalene"	ng/L	0.91639	126.42	2.10	0.16	0.15	0.97	#VALUE!	0.14	13.39	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	0.08	#VALUE!	#VALUE!	#VALUE!	0.20	43.96	#VALUE!	1.27	107.59	153.67	3.20	#VALUE!	0.38	0.27	25.68	0.27	0.07	#VALUE!	#VALUE!
